content
"A collaboration between Maison Franc and the House of Dior led to this ultra-limited edition of scented objects. Adorned with the sketches of Pietro Ruffo, this elegant La Collection Privée Christian Dior set is an ode to the savoir-faire and the fragrant art of living. https://t.co/a3alGVVk9s"
"For this year's holiday season, the House of Dior collaborated with Maison Franc and introduced wintery treasures: La Collection Privée lavender baubles.
#DiorBeauty #DiorHoliday #DreamInDior #DiorLaCollectionPrivee https://t.co/s1cmFyTV0R"
"The magical 'Rêve d’Infini' motif by Pietro Ruffo, created for the #DiorCruise 2023 collection by Maria Grazia Chiuri is perfect for the holiday season. Seen here adorning the #DiorBookTote and #LadyDior, tap on the cards to see more of the dazzling items!"
Take a glimpse into @NorahJones's earnest performance at the @Guggenheim International Gala where she serenaded friends of Dior. The talented singer wore a black lace dress and shawl paired with a Dior Saddle belt from the #DiorCruise 2023 collection by Maria Grazia.
"For the @Guggenheim International Gala, singer @NorahJones amazed guests not only with her lace look from the #DiorCruise 2023 collection by Maria Grazia Chiuri, but also and especially her wonderful performance. Stay tuned for a behind the scenes look in an upcoming video. https://t.co/HgSdV9IXyj"
"Friend of the House, @BrooklynBeckham attended the premiere of @WtChippendales in Los Angeles where he stepped onto the red carpet in an elegant Dior men's collection black suit and patent derbies by Kim Jones.
#StarsinDior https://t.co/rGUoEaOIdl"
Delight in Dior's dazzling gift selection with coveted accessories from the Lady Dior to the J'Adior pumps in the 'Jardin d’Hiver' motif. Tap on the cards to discover the pieces by Maria Grazia Chiuri!
"Explore the beauty of the Cannage embossed mini #LadyDior, seen on @TheCrownNetflix, that was originally named after Princess Diana. This model with blue satin and rhinestones is an exclusive limited edition revitalisation of the one the royal carried at the Met Gala in 1996. https://t.co/LEL3vU8QSs"
"The House has curated a selection of iconic gifts from Maria Grazia Chiuri including pieces from the #DiorCruise 2023 collection and other essentials like the #DiorSaddle bag, 'D-Leader' ankle boots, Lady D-Joy, and more. Tap on the cards to shop the products."
"To attend the #MarrakechFestival, actress Isabelle Huppert made a dramatic appearance dressed by Maria Grazia Chiuri in a Dior Haute Couture Spring-Summer 20217 black pleated silk faille hooded coat.
#StarsinDior https://t.co/ZxgsKuXDhd"
"Actress Katherine Langford attended the premiere of the newest film, ""Glass Onion: A @KnivesOut Mystery"", wearing a black lace #DiorCruise 2023 dress and Dior Saddle belt by Maria Grazia Chiuri.
#StarsinDior https://t.co/nYeni5xRp9"
"Follow Dior ambassador @EmmaRaducanu as she officially lights @Harrods to open the 'Fabulous World of Dior' experience. Discover more of the enchantment created for this holiday season by tapping on the card to watch the full video on YouTube. 
#HarrodsChristmas"
"Natalie Portman embodies the Rouge Dior attitude: strong, feminine and couture. Her lips are dressed in Rouge Dior Forever 720 Forever Icone and 100 Forever Nude Look. 

Makeup by Peter Philips 
© Sofia Sanchez

#DiorBeauty #DiorMakeup #RougeDior #ForeverRouge https://t.co/FexITT6dT2"
